,Player,Seasons,Games,Minutes,DWS,Seasons_>50,Seasons_>75,Seasons_DPOY,Seasons_>50_DPOY,Seasons_>75_DPOY,DPOY_awards,DPOY_shares
/players/m/moncrsi01.html,Sidney Moncrief,11,767,23150,28.9,10,9,8,7,6,2,0.7058974358974358
/players/r/rollitr01.html,Tree Rollins,18,1156,24028,42.099999999999994,16,10,13,12,6,0,0.14649122807017545
/players/b/birdla01.html,Larry Bird,13,897,34443,59.00000000000001,12,10,10,9,7,0,0.0931578947368421
/players/c/cheekma01.html,Maurice Cheeks,15,1101,34845,42.6,14,13,11,10,9,0,0.2736740890688259
/players/c/coopemi01.html,Michael Cooper,12,873,23635,24.7,11,10,8,8,7,1,0.6316869095816464
/players/j/jonesbo01.html,Bobby Jones,12,941,25728,43.2,12,12,4,4,4,0,0.14578947368421052
/players/e/eatonma01.html,Mark Eaton,11,875,25169,47.8,11,11,11,11,11,2,1.1519239829358958
/players/j/johnsde01.html,Dennis Johnson,14,1100,35954,42.7,14,14,8,8,8,0,0.16902834008097165
/players/d/dunntr01.html,T.R. Dunn,14,993,23080,21.400000000000002,12,12,9,7,7,0,0.09109311740890687
/players/g/greenri01.html,Rickey Green,14,946,23271,21.1,12,11,10,9,9,0,0.039473684210526314
/players/n/nancela01.html,Larry Nance,13,920,30697,44.599999999999994,12,11,12,11,10,0,0.02631578947368421
/players/n/nattca01.html,Calvin Natt,11,599,18818,18.3,7,7,8,4,4,0,0.02631578947368421
/players/s/sparrro01.html,Rory Sparrow,12,836,22550,17.9,11,9,10,10,8,0,0.02631578947368421
/players/j/johnsma02.html,Magic Johnson,13,906,33245,45.400000000000006,11,11,10,9,9,0,0.013157894736842105
/players/l/laimbbi01.html,Bill Laimbeer,14,1068,33956,49.199999999999996,13,13,12,11,11,0,0.013157894736842105
/players/m/malonmo01.html,Moses Malone,21,1455,49444,60.8,19,16,13,11,10,0,0.013157894736842105
/players/s/sheltlo01.html,Lonnie Shelton,10,673,18530,25.6,9,7,4,4,2,0,0.013157894736842105
/players/t/thompmy01.html,Mychal Thompson,12,935,27764,33.0,12,12,9,9,9,0,0.013157894736842105
/players/w/wilkeja01.html,Jamaal Wilkes,12,828,27275,27.8,11,9,4,3,2,0,0.013157894736842105
/players/p/presspa01.html,Paul Pressey,11,724,19659,27.899999999999995,10,7,11,10,7,0,0.15352564102564104
/players/r/richami01.html,Micheal Ray Richardson,8,556,18589,25.700000000000003,8,6,4,4,2,0,0.02564102564102564
/players/v/vraneda01.html,Danny Vranes,7,510,10624,11.5,7,5,6,6,4,0,0.02564102564102564
/players/r/roberal01.html,Alvin Robertson,10,779,24669,31.099999999999998,10,10,10,10,10,1,0.7934016164994426
/players/b/bolma01.html,Manute Bol,10,624,11698,18.900000000000006,8,7,10,8,7,0,0.44417420814479636
/players/m/mchalke01.html,Kevin McHale,13,971,30118,37.1,13,12,11,11,10,0,0.0641025641025641
/players/h/hanzlbi01.html,Bill Hanzlik,10,748,15534,14.9,10,9,8,8,7,0,0.01282051282051282
/players/h/harpede01.html,Derek Harper,16,1199,37786,33.4,16,16,16,16,16,0,0.04497630992196209
/players/j/jordami01.html,Michael Jordan,15,1072,41011,64.20000000000002,13,12,15,13,12,1,0.794745594153148
/players/l/leverfa01.html,Fat Lever,11,752,23814,31.7,9,9,11,9,9,0,0.07458521870286576
/players/r/riverdo01.html,Doc Rivers,13,864,23567,32.89999999999999,12,9,13,12,9,0,0.01282051282051282
/players/o/olajuha01.html,Hakeem Olajuwon,18,1238,44222,94.39999999999999,18,13,18,18,13,2,1.9690037213861218
/players/e/ewingpa01.html,Patrick Ewing,17,1183,40594,81.5,16,15,17,16,15,0,0.10501972528141693
/players/d/drexlcl01.html,Clyde Drexler,15,1086,37537,49.900000000000006,15,13,15,15,13,0,0.0125
/players/h/hansebo01.html,Bob Hansen,9,575,11104,11.700000000000001,8,5,9,8,5,0,0.0125
/players/m/mcmilna01.html,Nate McMillan,12,796,20462,31.1,10,9,12,10,9,0,0.06125058934464875
/players/p/perkisa01.html,Sam Perkins,17,1286,36598,43.10000000000001,17,17,17,17,17,0,0.0125
/players/r/rodmade01.html,Dennis Rodman,14,911,28839,54.4,12,10,14,12,10,2,2.0376599901074197
/players/s/stockjo01.html,John Stockton,19,1504,47764,65.0,19,19,19,19,19,0,0.02291666666666667
/players/w/willibu01.html,Buck Williams,17,1307,42464,61.8,17,16,16,16,15,0,0.043014705882352934
/players/d/dumarjo01.html,Joe Dumars,14,1018,35139,23.3,14,14,14,14,14,0,0.08251811594202899
/players/r/robinda01.html,David Robinson,14,987,34271,80.10000000000001,13,13,14,13,13,1,1.330668028693753
/players/p/pippesc01.html,Scottie Pippen,17,1178,41069,67.19999999999999,16,15,17,16,15,0,0.5044649000556872
/players/m/malonka01.html,Karl Malone,19,1476,54852,92.6,19,18,19,19,18,0,0.010416666666666666
/players/m/majerda01.html,Dan Majerle,14,955,30206,34.0,13,11,14,13,11,0,0.01020408163265306
/players/o/oaklech01.html,Charles Oakley,19,1282,40280,63.29999999999999,18,13,19,18,13,0,0.030006061830672864
/players/s/starkjo01.html,John Starks,13,866,23514,29.6,11,9,13,11,9,0,0.01020408163265306
/players/m/mutomdi01.html,Dikembe Mutombo,18,1196,36791,68.40000000000002,15,15,18,15,15,4,2.1462134895757994
/players/p/paytoga01.html,Gary Payton,17,1335,47117,49.00000000000001,17,17,17,17,17,1,1.2325408901806485
/players/b/blaylmo01.html,Mookie Blaylock,13,889,31026,38.70000000000001,12,11,13,12,11,0,0.22070746804815417
/players/g/grantho01.html,Horace Grant,17,1165,38621,49.20000000000001,16,15,17,16,15,0,0.036066889450219256
/players/m/mckeyde01.html,Derrick McKey,15,937,27229,30.5,13,9,15,13,9,0,0.01904761904761905
/players/m/mournal01.html,Alonzo Mourning,15,838,25975,48.1,11,9,15,11,9,2,1.333994256484937
/players/o/outlabo01.html,Bo Outlaw,15,914,20740,29.399999999999995,11,9,15,11,9,0,0.051596778952730904
/players/s/sprewla01.html,Latrell Sprewell,13,913,35270,27.799999999999997,12,11,13,12,11,0,0.008849557522123894
/players/e/eliema01.html,Mario Elie,11,732,18654,18.0,10,9,11,10,9,0,0.008695652173913044
/players/f/foxri01.html,Rick Fox,13,930,23723,22.0,12,11,13,12,11,0,0.008695652173913044
/players/k/kempsh01.html,Shawn Kemp,14,1051,29293,52.1,14,14,14,14,14,0,0.008695652173913044
/players/d/duncati01.html,Tim Duncan,19,1392,47368,106.4,19,18,19,19,18,0,1.0251084076193242
/players/m/masonan01.html,Anthony Mason,13,882,30605,39.6,11,11,13,11,11,0,0.0417660047218882
/players/g/garneke01.html,Kevin Garnett,21,1462,50418,91.49999999999999,20,17,21,20,17,1,1.6367195818173688
/players/g/gillke01.html,Kendall Gill,15,966,29481,28.200000000000003,13,11,15,13,11,0,0.01688515246508977
/players/k/knighbr01.html,Brevin Knight,12,729,18176,21.500000000000004,12,7,12,12,7,0,0.008620689655172414
/players/r/ratlith01.html,Theo Ratliff,16,810,20500,30.2,12,7,16,12,7,0,0.22387083396516297
/players/c/currymi01.html,Michael Curry,11,667,13208,9.5,9,8,11,9,8,0,0.00847457627118644
